count|date
2|2019/01
2|2019/05
3|2019/12
219|2020/01
1106|2020/02
3859|2020/03
11976|2020/04
13568|2020/05
13253|2020/06
13687|2020/07
10586|2020/08
9194|2020/09
8152|2020/10
6883|2020/11
6343|2020/12
5356|2021/01
5082|2021/02
4804|2021/03
3956|2021/04
3610|2021/05
2921|2021/06
2412|2021/07
2004|2021/08
1674|2021/09
1201|2021/10
1151|2021/11
736|2021/12
613|2022/01
277|2022/02
215|2022/03
134|2022/04
134979 dates extracted
